,Country Name,Total Label Value,Number Of Country Appearances,average Label Score,Number of 0s,Number of 1s,Number of 2s,Number of 3s
66,Korea,0,1,0,1,0,0,0
74,Martinique,0,1,0,1,0,0,0
72,Malawi,0,1,0,1,0,0,0
71,Madagascar,0,21,0,21,0,0,0
69,Liberia,0,1,0,1,0,0,0
67,Laos,0,1,0,1,0,0,0
132,Worldwide,0,3,0,3,0,0,0
61,Jamaica,0,3,0,3,0,0,0
60,Jakarta,0,1,0,1,0,0,0
55,Iran,0,6,0,6,0,0,0
54,"Indonesia
",0,1,0,1,0,0,0
48,Honduras,0,1,0,1,0,0,0
47,Haiti,0,6,0,6,0,0,0
45,Guinea,0,3,0,3,0,0,0
43,Gibraltar,0,4,0,4,0,0,0
42,Ghana,0,7,0,7,0,0,0
76,Morocco,0,1,0,1,0,0,0
77,Myanmar,0,10,0,10,0,0,0
78,Nepal,0,2,0,2,0,0,0
86,PalestinianTerritory,0,3,0,3,0,0,0
128,VaticanCity,0,1,0,1,0,0,0
127,Vaccine,0,1,0,1,0,0,0
126,Uruguay,0,4,0,4,0,0,0
124,UnitedStatets,0,1,0,1,0,0,0
120,UnitedArabEmirates,0,3,0,3,0,0,0
118,Uganda,0,5,0,5,0,0,0
116,Tunisia,0,4,0,4,0,0,0
40,Georgia,0,1,0,1,0,0,0
112,Syria,0,2,0,2,0,0,0
105,SouthAfrican,0,1,0,1,0,0,0
103,Slovakia,0,2,0,2,0,0,0
100,Senegal,0,8,0,8,0,0,0
98,SaudiArabia,0,12,0,12,0,0,0
97,Rwanda,0,1,0,1,0,0,0
93,PuertoRico,0,2,0,2,0,0,0
88,Paraguay,0,3,0,3,0,0,0
107,SouthSudan,0,6,0,6,0,0,0
38,European,0,1,0,1,0,0,0
133,Zimbabwe,0,4,0,4,0,0,0
17,Burundi,0,2,0,2,0,0,0
24,CostaRica,0,1,0,1,0,0,0
18,California,0,1,0,1,0,0,0
16,Bulgaria,0,4,0,4,0,0,0
13,Bolivia,0,6,0,6,0,0,0
11,Belarus,0,3,0,3,0,0,0
28,C̫ted'Ivoire,0,1,0,1,0,0,0
10,Barbados,0,1,0,1,0,0,0
9,Bangladesh,0,1,0,1,0,0,0
4,Almeria,0,1,0,1,0,0,0
19,Cameroon,0,4,0,4,0,0,0
30,DemocraticRepublicoftheCongo,0,13,0,13,0,0,0
29,DemocraticRepublicofCongo,0,2,0,2,0,0,0
36,Ethiopia,0,2,0,2,0,0,0
3,Algeria,0,3,0,3,0,0,0
2,Albania,0,1,0,1,0,0,0
1,Africa,0,2,0,2,0,0,0
34,ElSalvador,0,3,0,3,0,0,0
32,Ecuador,1,18,0.055555556,17,1,0,0
89,Peru,1,15,0.066666667,14,1,0,0
117,Turkey,2,25,0.08,23,2,0,0
51,Iceland,1,8,0.125,7,1,0,0
35,England,1,7,0.142857143,6,1,0,0
49,HongKong,1,7,0.142857143,6,1,0,0
44,Greece,3,20,0.15,17,3,0,0
52,India,147,918,0.160130719,782,127,7,2
85,Pakistan,5,31,0.161290323,26,5,0,0
50,Hungary,1,6,0.166666667,5,1,0,0
131,WorldWide,2,12,0.166666667,10,2,0,0
75,Mexico,15,84,0.178571429,70,13,1,0
96,Russia,19,106,0.179245283,93,8,4,1
53,Indonesia,30,157,0.191082803,128,28,1,0
79,Netherlands,2,10,0.2,8,2,0,0
0,Afghanistan,1,5,0.2,4,1,0,0
31,Denmark,7,35,0.2,31,2,1,1
56,Iraq,1,5,0.2,4,1,0,0
62,Japan,11,53,0.20754717,44,7,2,0
108,Spain,34,158,0.215189873,129,24,5,0
15,Brazil,153,651,0.235023041,543,67,37,4
39,France,40,170,0.235294118,143,18,5,4
41,Germany,33,140,0.235714286,112,25,1,2
109,SriLanka,10,40,0.25,30,10,0,0
70,Libya,1,4,0.25,3,1,0,0
7,Australia,26,103,0.252427184,77,26,0,0
22,China,60,223,0.269058296,178,33,9,3
59,Italy,70,259,0.27027027,207,34,18,0
8,Austria,3,11,0.272727273,9,1,1,0
20,Canada,29,106,0.273584906,86,12,7,1
111,Switzerland,8,29,0.275862069,23,4,2,0
12,Belgium,5,17,0.294117647,12,5,0,0
58,Israel,28,94,0.29787234,73,17,1,3
119,Ukraine,4,13,0.307692308,11,1,0,1
73,Malaysia,5,16,0.3125,11,5,0,0
102,Singapore,7,22,0.318181818,15,7,0,0
110,Sweden,6,18,0.333333333,13,4,1,0
95,Romania,2,6,0.333333333,4,2,0,0
63,Jordan,1,3,0.333333333,2,1,0,0
115,Thailand,9,27,0.333333333,19,7,1,0
33,Egypt,1,3,0.333333333,2,1,0,0
90,Philippines,37,107,0.345794393,77,26,1,3
23,Colombia,20,56,0.357142857,42,11,0,3
104,SouthAfrica,10,28,0.357142857,22,4,0,2
106,SouthKorea,10,24,0.416666667,14,10,0,0
123,UnitedStates,594,1391,0.427030913,982,250,133,26
114,Tanzania,9,21,0.428571429,14,6,0,1
82,Nigeria,13,30,0.433333333,21,6,2,1
26,Cuba,7,16,0.4375,11,4,0,1
92,Portugal,63,143,0.440559441,102,19,22,0
37,Europe,22,48,0.458333333,30,14,4,0
129,Venezuela,10,21,0.476190476,13,7,0,1
122,UnitedKingdom,210,439,0.478359909,301,86,32,20
125,UntedStates,1,2,0.5,1,1,0,0
25,Croatia,2,4,0.5,2,2,0,0
130,Vietnam,2,4,0.5,2,2,0,0
81,Nicaragua,1,2,0.5,1,1,0,0
27,CzechRepublic,1,2,0.5,1,1,0,0
113,Taiwan,2,4,0.5,2,2,0,0
87,PapuaNewGuinea,1,2,0.5,1,1,0,0
6,Argentina,29,57,0.50877193,37,12,7,1
80,NewZealand,22,39,0.564102564,23,10,6,0
65,Kenya,7,12,0.583333333,6,5,1,0
91,Poland,31,46,0.673913043,31,2,10,3
57,Ireland,18,25,0.72,17,1,4,3
21,Chile,3,4,0.75,2,1,1,0
64,Kazakhstan,4,5,0.8,3,0,2,0
121,UnitedKIngdom,1,1,1,0,1,0,0
68,Lebanon,1,1,1,0,1,0,0
99,Scotland,1,1,1,0,1,0,0
14,Bosina,1,1,1,0,1,0,0
94,Qatar,1,1,1,0,1,0,0
101,Seychelles,1,1,1,0,1,0,0
84,Norway,13,11,1.181818182,4,3,2,2
83,NorthKorea,7,5,1.4,2,1,0,2
5,Antarctica,2,1,2,0,0,1,0
46,Guinea-Bissau,3,1,3,0,0,0,1
